,Rank,Country/Territory,GDP(US$million)
0,,,
1,,World,"87,751,541"
2,1,United States,"21,427,700"
3,2,China[n 5],"14,342,903"
4,3,Japan,"5,081,770"
5,4,Germany,"3,845,630"
6,5,India,"2,875,142"
7,6,United Kingdom,"2,827,113"
8,7,France,"2,715,518"
9,8,Italy,"2,001,244"
10,9,Brazil,"1,839,758"
11,10,Canada,"1,736,426"
12,11,Russia[n 3],"1,699,877"
13,12,"Korea, South","1,642,383"
14,13,Spain,"1,394,116"
15,14,Australia,"1,392,681"
16,15,Mexico,"1,258,287"
17,16,Indonesia,"1,119,191"
18,17,Netherlands,"909,070"
19,18,Saudi Arabia,"792,967"
20,19,Turkey,"754,412"
21,20,Switzerland,"703,082"
22,21,Poland,"592,164"
23,—,Taiwan,"574,905 (2017)"
24,22,Thailand,"543,650"
25,23,Sweden,"530,833"
26,24,Belgium,"529,607"
27,25,Argentina,"449,663"
28,26,Nigeria,"448,120"
29,27,Austria,"446,315"
30,28,Iran,"445,345 (2017)"
31,29,United Arab Emirates,"421,142"
32,30,Norway,"403,336"
33,31,Israel,"395,099"
34,32,Ireland,"388,699"
35,33,Philippines,"376,796"
36,34,Singapore,"372,063"
37,—,Hong Kong,"366,030"
38,35,Malaysia,"364,702"
39,36,South Africa,"351,432"
40,37,Denmark,"348,078"
41,38,Colombia,"323,803"
42,39,Egypt,"303,175"
43,40,Bangladesh,"302,571"
44,41,Chile,"282,318"
45,42,Pakistan,"278,222"
46,43,Finland,"268,761"
47,44,Vietnam,"261,921"
48,45,Romania,"250,077"
49,46,Czech Republic,"246,489"
50,47,Portugal,"237,686"
51,48,Iraq,"234,094"
52,49,Peru,"226,848"
53,50,Greece,"209,853"
54,51,New Zealand,"206,929"
55,52,Qatar,"183,466"
56,53,Kazakhstan,"180,162"
57,54,Algeria,"169,988"
58,55,Hungary,"160,967"
59,56,Ukraine,"153,781"
60,57,Kuwait,"134,761"
61,58,Morocco[n 6],"118,725"
62,59,Ecuador,"107,436"
63,60,Slovak Republic,"105,422"
64,61,Puerto Rico,"104,989"
65,—,Cuba,"100,023 (2018)"
66,62,Ethiopia,"96,108"
67,63,Kenya,"95,503"
68,64,Angola,"94,635"
69,65,Dominican Republic,"88,941"
70,66,Sri Lanka,"84,009"
71,67,Oman,"76,983"
72,68,Guatemala,"76,710"
73,69,Myanmar,"76,086"
74,70,Luxembourg,"71,105"
75,71,Bulgaria,"67,927"
76,72,Ghana,"66,984"
77,73,Panama,"66,801"
78,74,Tanzania[n 7],"63,177"
79,75,Belarus,"63,080"
80,76,Costa Rica,"61,774"
81,77,Croatia,"60,416"
82,78,Cote d'Ivoire,"58,792"
83,79,Uzbekistan,"57,921"
84,—,Uruguay,"56,046"
85,80,Lithuania,"54,219"
86,81,Macau,"53,859"
87,82,Slovenia,"53,742"
88,83,Lebanon,"53,367"
89,84,Libya,"52,076"
90,85,Serbia,"51,409"
91,86,Azerbaijan,"48,048"
92,87,"Congo, Democratic Republic of the","47,320"
93,88,Jordan,"43,744"
94,89,Bolivia,"40,895"
95,90,Turkmenistan,"40,761 (2018)"
96,91,Tunisia,"38,798"
97,92,Cameroon,"38,760"
98,93,Bahrain,"38,574"
99,94,Paraguay,"38,145"
100,95,Uganda,"34,387"
101,96,Latvia,"34,117"
102,97,Estonia,"31,387"
103,98,Nepal,"30,641"
104,99,Cambodia,"27,089"
105,100,El Salvador,"27,023"
106,101,Honduras,"25,095"
107,102,Papua New Guinea,"24,970"
108,103,Cyprus[n 8],"24,565"
109,104,Iceland,"24,188"
110,105,Trinidad and Tobago,"24,100"
111,106,Senegal,"23,578"
112,107,Zambia,"23,065"
113,108,Zimbabwe,"21,441"
114,109,Bosnia and Herzegovina,"20,048"
115,110,Afghanistan,"19,101"
116,111,Sudan,"18,902"
117,112,Botswana,"18,341"
118,113,Laos,"18,174"
119,114,Georgia[n 9],"17,743"
120,115,Mali,"17,510"
121,116,Gabon,"16,658"
122,117,Jamaica,"16,458"
123,118,Burkina Faso,"15,746"
124,—,Albania,"15,278"
125,119,Mozambique,"14,934"
126,120,Malta,"14,786"
127,121,West Bank and Gaza,"14,616 (2018)"
128,122,Benin,"14,391"
129,123,Mauritius,"14,180"
130,124,Madagascar,"14,084"
131,125,Mongolia,"13,853"
132,126,Armenia,"13,673"
133,127,Guinea,"13,590"
134,128,Brunei,"13,469"
135,129,Niger,"12,928"
136,130,"Bahamas, The","12,827"
137,131,North Macedonia,"12,695"
138,132,Nicaragua,"12,521"
139,133,Namibia,"12,367"
140,134,Moldova[n 10],"11,955"
141,135,Chad,"11,315"
142,136,Equatorial Guinea,"11,027"
143,137,"Congo, Republic of the","10,821"
144,138,Rwanda,"10,122"
145,139,Haiti,"8,499"
146,140,Kyrgyzstan,"8,455"
147,—,Tajikistan,"8,117"
148,141,Kosovo,"7,926"
149,142,Malawi,"7,667"
150,143,Mauritania,"7,594"
151,144,Maldives,"5,729"
152,145,Fiji,"5,536"
153,146,Montenegro,"5,495"
154,147,Togo,"5,460"
155,148,Barbados,"5,209"
156,149,Eswatini,"4,405"
157,150,Guyana,"4,280"
158,151,Suriname,"3,985"
159,152,Sierra Leone,"3,941"
160,153,Djibouti,"3,319"
161,154,Andorra,"3,154"
162,155,Liberia,"3,071"
163,156,Burundi,"3,012"
164,157,Lesotho,"2,460"
165,158,Bhutan,"2,447 (2018)"
166,159,Central African Republic,"2,220"
167,160,Saint Lucia,"2,122"
168,161,Cabo Verde,"1,982"
169,162,Belize,"1,880"
170,163,"Gambia, The","1,764"
171,164,Antigua and Barbuda,"1,728"
172,165,Seychelles,"1,699"
173,166,Timor-Leste,"1,674"
174,167,San Marino,"1,638 (2018)"
175,168,Solomon Islands,"1,425"
176,169,Guinea-Bissau,"1,340"
177,170,Grenada,"1,228"
178,171,Comoros,"1,186"
179,172,Saint Kitts and Nevis,"1,051"
180,173,Vanuatu,917
181,174,Samoa,851
182,175,Saint Vincent and the Grenadines,825
183,176,Dominica,596
184,177,Tonga,450 (2018)
185,178,Sao Tome and Principe,429
186,179,"Micronesia, Federated States of",402 (2018)
187,180,Palau,284 (2018)
188,181,Marshall Islands,221 (2018)
189,182,Kiribati,195
190,183,Nauru,118
191,184,Tuvalu,47
