,Rank,Country/Territory,GDP(US$million)
0,,,
1,,World[25],"85,085,189"
2,1,United States,"20,580,223"
3,2,China[n 5],"13,608,152"
4,3,Japan,"4,971,323"
5,4,Germany,"3,949,549"
6,5,United Kingdom,"2,855,297"
7,6,India,"2,779,351"
8,7,France,"2,778,892"
9,8,Italy,"2,084,882"
10,9,Brazil,"1,868,613"
11,10,"Korea, South","1,720,489"
12,11,Canada,"1,712,562"
13,12,Russia[n 3],"1,660,514"
14,13,Australia,"1,453,871"
15,14,Spain,"1,419,735"
16,15,Mexico,"1,223,401"
17,16,Indonesia,"1,042,173"
18,17,Netherlands,"914,105"
19,18,Saudi Arabia,"782,484"
20,19,Turkey,"771,355"
21,20,Switzerland,"705,141"
22,21,Poland,"585,661"
23,—,Taiwan,"579,865"
24,22,Sweden,"556,087"
25,23,Belgium,"543,026"
26,24,Argentina,"518,475"
27,25,Thailand,"504,992"
28,26,Iran,"473,091"
29,27,Austria,"455,508"
30,28,Norway,"434,167"
31,29,Nigeria,"421,821"
32,30,United Arab Emirates,"414,179"
33,31,Ireland,"382,674"
34,32,Israel,"370,588"
35,33,South Africa,"368,094"
36,—,Hong Kong,"362,682"
37,34,Singapore,"361,115"
38,35,Malaysia,"358,579"
39,36,Denmark,"355,675"
40,37,Philippines,"330,910"
41,38,Colombia,"330,228"
42,39,Chile,"298,231"
43,40,Pakistan,"282,346"
44,41,Finland,"276,878"
45,42,Bangladesh,"269,628"
46,43,Egypt,"249,751"
47,44,Czech Republic,"245,226"
48,45,Vietnam,"244,901"
49,46,Portugal,"240,792"
50,47,Romania,"239,552"
51,48,Peru,"222,237"
52,49,Greece,"218,139"
53,50,Iraq,"212,272"
54,51,Venezuela,"208,339"
55,52,New Zealand,"207,921"
56,53,Qatar,"191,362"
57,54,Kazakhstan,"179,340"
58,55,Algeria,"173,758"
59,56,Hungary,"157,883"
60,57,Kuwait,"141,698"
61,58,Ukraine,"130,832"
62,59,Morocco,"117,921"
63,60,Ecuador,"108,398"
64,61,Slovakia,"105,956"
65,62,Angola,"105,902"
66,—,Puerto Rico,"101,131"
67,63,Cuba,"100,023"
68,64,Oman,"92,112"
69,65,Sri Lanka,"88,942"
70,66,Kenya,"87,906"
71,67,Dominican Republic,"81,299"
72,68,Ethiopia,"80,293"
73,69,Guatemala,"78,461"
74,70,Myanmar,"72,745"
75,71,Luxembourg,"70,920"
76,72,Bulgaria,"66,199"
77,73,Ghana,"65,535"
78,74,Panama,"65,055"
79,75,Croatia,"60,991"
80,76,Costa Rica,"60,126"
81,77,Belarus,"59,662"
82,78,Uruguay,"59,597"
83,79,Tanzania,"57,145"
84,80,Lebanon,"56,409"
85,—,Macau,"54,545"
86,81,Slovenia,"54,034"
87,82,Lithuania,"53,455"
88,83,Serbia,"50,597"
89,84,Sudan,"50,514"
90,85,Uzbekistan,"50,500"
91,86,"Congo, Democratic Republic of the","47,146"
92,87,Azerbaijan,"46,939"
93,88,Côte d'Ivoire,"43,028"
94,89,Jordan,"42,231"
95,90,Turkmenistan,"40,749"
96,91,Paraguay,"40,308"
97,92,Bolivia,"40,288"
98,93,Tunisia,"39,895"
99,94,Cameroon,"38,694"
100,95,Bahrain,"37,876"
101,96,Latvia,"34,426"
